,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,
,Accueil des participants 😀😍😍,Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1253746648093352/?type=3,2018-02-17 06:12:07,16,0,0,10,6,0,0,0,0,0,
,"#TopCodersTunisia 💻💪😁⏳
#JeunesIngénieursISAMM
#J2I",Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1253718648096152/?type=3,2018-02-17 05:51:38,10,0,1,10,0,0,0,0,0,0,
,Let the coding begin 💪🏻💪🏻😍,,video,https://www.facebook.com/ClubJ2I/videos/1253701061431244/,2018-02-17 05:05:21,9,0,0,3,6,0,0,0,0,0,
,,,video,https://www.facebook.com/ClubJ2I/videos/1253679478100069/,2018-02-17 04:28:00,1,0,0,1,0,0,0,0,0,0,
,A lot of fun 😁😍,,video,https://www.facebook.com/ClubJ2I/videos/1253678161433534/,2018-02-17 04:25:52,0,0,0,0,0,0,0,0,0,0,
,Top Coders V2 loading ...,,video,https://www.facebook.com/ClubJ2I/videos/1253671144767569/,2018-02-17 04:10:18,3,0,2,1,2,0,0,0,0,0,
,Préparation Top coders Tunisia V 2.0 :D :),Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1253643748103642/?type=3,2018-02-17 03:25:44,12,0,2,10,2,0,0,0,0,0,
,"attachez vos ceinture !! 😁😁😀
Top coders Tunisia commencera dans une heure ⌛💻",,status,,2018-02-17 03:14:24,5,2,0,5,0,0,0,0,0,0,
,"Training session 🎊👨‍💻👩‍💻💪
This is just the beginning🤩😎
#TopCodersTunisia
#JeunesIngénieursISAMM
#J2I",Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1253041334830550/?type=3,2018-02-16 09:37:41,17,5,3,9,7,0,1,0,0,0,
,"Training session 
#TopCodersTunisia V 2.0",Untitled Album,photo,https://www.facebook.com/ClubJ2I/photos/a.1252926288175388.1073741842.201198273348200/1252927038175313/?type=3,2018-02-16 08:03:01,6,0,0,6,0,0,0,0,0,0,
,Training session 💪🏻😍💕,,video,https://www.facebook.com/ClubJ2I/videos/1252882058179811/,2018-02-16 07:12:13,4,0,0,4,0,0,0,0,0,0,
,pause café,Untitled Album,photo,https://www.facebook.com/ClubJ2I/photos/a.1252851294849554.1073741841.201198273348200/1252851814849502/?type=3,2018-02-16 06:30:05,12,2,0,11,1,0,0,0,0,0,
,Nos invités,Untitled Album,photo,https://www.facebook.com/ClubJ2I/photos/a.1252844658183551.1073741840.201198273348200/1252847858183231/?type=3,2018-02-16 06:24:15,16,0,0,12,3,1,0,0,0,0,
,"c'est parti 😃😎😎😎
#TopCodersTunisia V 2.0",Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1252779601523390/?type=3,2018-02-16 04:49:43,13,0,2,10,3,0,0,0,0,0,
,😍,,video,https://www.facebook.com/ClubJ2I/videos/1252779411523409/,2018-02-16 04:47:48,7,1,1,4,3,0,0,0,0,0,
,"L'inscription à top coders Tunisia est fermée , nous partagerons la liste des groupes sélectionnés plus tard .
#stayTuned",,status,,2018-02-14 15:19:40,5,0,0,2,1,0,2,0,0,0,
,#TopCodersTunisia v 2.0 💪💪,Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1251660338301983/?type=3,2018-02-14 15:08:28,2,1,1,2,0,0,0,0,0,0,
,"Encore  3 jours ⏳⏳⏳
Dépêchez-vous!! formez vos équipes et rejoignez nous

https://docs.google.com/forms/d/16W3L7pEFVLICosbpU7sGdGL3ve7eLUX3GHJvA4GaAZw/viewform?ts=5a787adf&edit_requested=true",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1250767825057901/?type=3,2018-02-13 12:48:26,5,1,2,4,0,0,0,1,0,0,
,"N'hésitez pas rejoignez nous 💪💪
#TopCodersTunisia V 2.0",TOP Coders Tunisia v2 (Problem solving challenge ),event,https://www.facebook.com/events/202180777186364/,2018-02-13 07:10:29,2,0,0,1,1,0,0,0,0,0,
,"#TopCodersTunisia V 2.0 
#J2I #ISAMM",Untitled Album,photo,https://www.facebook.com/ClubJ2I/photos/a.1249986611802689.1073741839.201198273348200/1249986645136019/?type=3,2018-02-12 14:31:50,13,1,4,10,2,0,0,1,0,0,
,"Top coders overseas 😍👏😁
#TopCodersTunisia V 2.0
#j2i #isamm",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1249278228540194/?type=3,2018-02-11 16:19:13,12,1,4,9,2,0,1,0,0,0,
,"Throwback Top Coders V 1.0 😍😁🙂
#topCoders #j2i #isamm
#dont_Wait_For_oppotunity_Create_it",Séquence 01 3,video,https://www.youtube.com/attribution_link?a=9Ep0knTRnoE&u=%2Fwatch%3Fv%3DgAQZzyyvDuI%26feature%3Dshare,2018-02-10 15:46:40,1,0,0,0,1,0,0,0,0,0,
,"Training today's brightest minds to solve tomorrow's problems.
hurry up ! 🏃‍♂️🏃‍♂️register now 👨‍💻👩‍💻

https://docs.google.com/forms/d/16W3L7pEFVLICosbpU7sGdGL3ve7eLUX3GHJvA4GaAZw/viewform?ts=5a787adf&edit_requested=true

#MosaiqueFm
#TopCoders #J2I #JeunesIngénieursISAMM",Dezz J'aime By Mosaique FM,video,https://www.facebook.com/DezzJaimeSurMosaiqueFM/videos/1956814544646978/,2018-02-09 17:37:16,9,0,4,8,1,0,0,0,0,0,
,<3<3,Jeunes Ingénieurs ISAMM,video,https://www.facebook.com/ClubJ2I/videos/1247637215370962/,2018-02-09 16:42:22,9,0,9,6,3,0,0,0,0,0,
,"et voilà , on est en direct  <3 <3 <3 TOP CODERS , n'hésitez pas à regarder <3 #j2i <3",Jeunes Ingénieurs ISAMM,video,https://www.facebook.com/ClubJ2I/videos/1247637215370962/,2018-02-09 16:39:20,10,0,0,8,2,0,0,0,0,0,
,,,video,https://www.facebook.com/ClubJ2I/videos/1247637215370962/,2018-02-09 16:36:56,26,3,18,12,13,0,1,0,0,0,
,"Tick tock ⏳⏳ encore quelques minutes ⏳⏳  attendez nous sur les ondes de #MosaiqueFm
#TopCodersTunisia
#J2I #JunesIngénieursISAMM 
#ISAMM
#don_t #wait #for #opportunity #create #it

https://www.mosaiquefm.net/fr/webCam",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1247615315373152/?type=3,2018-02-09 16:26:00,5,0,1,2,3,0,0,0,0,0,
,"Attendez nous ce soir à 22h30 sur les ondes de Mosaïque FM dans l’émission de MIDOX pour parler de TOP CODERS V2, de l'ISAMM et de jeunes ingénieurs ISAMM
#Dont_wait_for_opportunity_create_it
#j2i #TOPCODERS 
#MosaïqueFM #MIDOX",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1247498445384839/?type=3,2018-02-09 12:20:25,14,0,21,13,1,0,0,0,0,0,
,"ThrowBack Top Coders Tunisia V1.0  😁😎😁
 Winning Teams 👏💪👏 
#TopCodersTunisia #JeunesIngénieursISAMM #J2I 
#don_t #wait #for #opportunity #create #it",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1246682422133108/?type=3,2018-02-08 11:46:39,14,2,0,9,4,0,0,1,0,0,
,"Top Coders Tunisia V 2.0 
#ProblemSolving 💻🖥️💻
#ComingSoon
#StayTuned",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1246475178820499/?type=3,2018-02-08 06:46:21,10,0,4,8,1,0,0,1,0,0,
,,Jeunes Ingénieurs ISAMM's cover photo,photo,https://www.facebook.com/ClubJ2I/photos/a.201200726681288.50560.201198273348200/1246075522193798/?type=3,2018-02-07 16:17:46,5,0,0,3,2,0,0,0,0,0,
,"Passage de jeunes ingénieurs ISAMM à EXPRESS FM 
SAMEDI 03/02/2018 pour parler de notre event TOP CODERS TUNISIA V 2.0",Passage de jeunes ingénieurs ISAMM à EXPRESS FM,video,https://www.facebook.com/ClubJ2I/videos/1245300715604612/,2018-02-06 15:26:25,5,0,13,5,0,0,0,0,0,0,
,"Passionnés de la programmation ?👩‍💻👨‍💻
Vous cherchez une opportunité pour révéler votre talent en algorithmique à l'échelle nationale ?💪💪
TOPCoders Tunisia est là pour vous !!!😎🤩
Le club jeunes ingénieurs de l'ISAMM a l’immense plaisir de vous inviter à la 2éme édition de Topcoders Tunisia.
la compétition se déroulera le 16 et le 17 février. 
Les règles sont simples :
-une équipe de trois personnes 
-un seul pc par équipe 
Dépêchez-vous!!  formez vos équipes 👫👬👭
et Inscrivez vous 
https://docs.google.com/forms/d/16W3L7pEFVLICosbpU7sGdGL3ve7eLUX3GHJvA4GaAZw/viewform?ts=5a787adf&edit_requested=true
#StayTunned Pour plus d’informations 😍😁👨‍💻👩‍💻
#dont #wait #for #opportunity #create #it",TOP Coders Tunisia v2 (Problem solving challenge ),event,https://www.facebook.com/events/202180777186364/,2018-02-04 14:43:03,0,0,0,0,0,0,0,0,0,0,
,"Attendez nous à 14h10 sur les ondes d'EXPRESS FM :) 
#Dont_wait_for_opportunity_create_it",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1242602459207771/?type=3,2018-02-03 05:14:46,12,0,5,7,5,0,0,0,0,0,
,,Workshop Xamarin,link,https://graph.facebook.com/events/158115721639854/,2018-01-30 15:18:38,3,0,0,3,0,0,0,0,0,0,
,Coming soon... wait for #topCoders 😍😍💪🏻💪🏻👨🏻‍💻👩‍💻,,photo,https://www.facebook.com/ClubJ2I/photos/a.609876492480374.1073741830.201198273348200/1238634429604574/?type=3,2018-01-29 03:24:41,10,0,4,7,3,0,0,0,0,0,
,"""Level 1"" est un espace de travail pour les geeks, les entrepreneurs, freelancers ou étudiants où les visiteurs ne paient que le nombre d'heures passées. Par contre, ici la consommation du café/jus/eau/thé/cake est gratuite et en illimité.

Nous sommes équipés

    D’une connexion Internet haut débit de 100 Mo, 
    D'un open space de 40 places une imprimante, une photocopieuse, et un scanner.
    De 3 salles de réunions équipés, 
    D’un espace d’événements/workshops de 50 personnes avec vidéoprojecteur
    D’un « prototyping lab » équipé de Microsoft Hololens, Oculus Rift, HTC Vive, un PC Gamer 16 Go carte graphique/ 32 Go Ram, motion capture/face capture, 3D scanner, 3D printer etc qui permettront aux fans de la 3D, de jeux vidéos, de la réalité augmentée et de la réalité virtuelle de développer et de tester leurs produits.

Nous mettons ce matériel à la disposition des étudiants à des prix très accessibles et nous ferons des packs PFE si nécessaire selon le besoin.

D'autre part, nous allons offrir ce matériel gratuitement à deux étudiants qui ont des PFE innovants en VR ou AR. Si vous êtes intéressés, merci d'envoyer votre sujet à contact@l1h.co et nous allons vous contacter si vous êtes sélectionnés.

Nous sommes situés aux Berges du Lac 1, juste à coté de Carthage Land/ Ali Baba du côté du corniche.

En attente de votre visite, veuillez accepter nos salutations les plus distinguées.",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1221425547992129/?type=3,2018-01-08 15:42:14,4,0,0,2,1,0,1,0,0,0,
,"La fin de l'année 2017 approche donc on a voulu vous offrir le bilan de notre participation aux Hackatons lors de cet année . 
Le club jeunes ingénieurs a été parmi les club le plus titrés lors de cet année et a offert à l'ISAMM Plus de 6 titres.
-->1ére / 2éme /3éme place HACKATON APPS FOR DEMOCRACY
--> BEST INNOVATIVE APP hackaton HACK THE ROAD de SHELL et Morris Garage
-->1er /2éme et 3éme prix CODING LAND Par club microsoft
-->1er/2éme prix WEB CAMP 
-->1ér prix TUNIHACK ENSI
-->3éme prix STARTUP WEEKEND 

On vous souhaite une bonne année 2018 et une bonne chance pour les Devoirs 

                                                               BUREAU EXEC J2I",Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1213434398791244/?type=3,2017-12-31 06:00:40,26,3,5,16,10,0,0,0,0,0,
,https://cdicdd.com/algo-consulting-group-stage-pfe-2018/,ALGO Consulting Group - Stage PFE 2018,link,https://cdicdd.com/algo-consulting-group-stage-pfe-2018/,2017-12-26 16:24:24,1,0,0,1,0,0,0,0,0,0,
,"Il est encore temps! Notre PFE-Book est encore disponible 👨‍💻👩‍💻 sur ce lien https://goo.gl/LydeFF
N'hésitez pas à consulter nos thématiques et nos sujets!
Réussissez votre stage de fin d'études en découvrant le vrai Digital World! Vite Postulez sur rh@dotit.com.tn",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1209941132473904/?type=3,2017-12-26 16:22:51,3,1,1,3,0,0,0,0,0,0,
,,"Offre de PFE 2018 à TUNIS- DEVELOPPEMENT D’UNE SOLUTION D’INTEGRATION DE DONNEES ET CALCUL DE KPI (TALEND/JAVA, SALESFORCE, WEBSERVICES)",link,https://www.linkedin.com/pulse/offre-de-pfe-2018-%C3%A0-tunis-developpement-dune-donnees-miled-ats-/?trackingId=ua3pbc9Cr3IsWUZT3B8P5A%3D%3D,2017-12-26 06:52:00,1,0,0,1,0,0,0,0,0,0,
,"Minotore Tunisia offre l'opportunité du Stage de PFE pour les étudiants de L'institut Supérieur des Arts Multimédia de la Manouba.

Sujet : Développement un système d’analyse et suivi du référencement (SEO ToolBox)

Nombre de stagiaires recherchés : 2

Un stagiaire qui sera amené à développer la partie Backend End.
Un stagiaire qui sera amené à développer la partie Front.
3ème année ou mastère de l’institut supérieur d’art de Multimédia

Compétences requises : 

Une bonne capacité d’assimilation et d’analyse
Une bonne base algorithmique
Une force de proposition. 
Une réelle maitrise des Framework Symfony et AngularJS.
Durée : 4 à 6 mois

Merci d'envoyer vos CVs détaillés à hajer.rebai.chapeau@minotore.com
Mentionner dans le sujet du mail : PFE digital",,status,,2017-12-24 05:45:20,1,1,0,1,0,0,0,0,0,0,
,"Club Jeunes Ingénieurs ISAMM recrute de nouveau 🎊🎉!! Pour ceux qui souhaitent intégrer notre club, veuillez remplir ce formulaire et nous contacterons les sélectionnés.
PS: Les membres du club seront prioritaires dans les formations et la participation aux challenges :D",Formulaire d'inscription,link,https://docs.google.com/forms/d/e/1FAIpQLSdmbV9r8FQoif5FZ8IMrActcZfkKKxRgm9GTynTm2pqzkkZjw/viewform?usp=fb_send_fb,2017-12-20 07:44:20,3,0,1,3,0,0,0,0,0,0,
,"Le Club jeune ingénieur ISAMM organise en collaboration avec le Club Freeways ISI, un coding Contest virtuel sur la plateforme code forces afin de préparer les étudiants de L'ISAMM et L'ISI pour les deux compétitions nationales TCPC et TOPS qui se dérouleront en Mars
Pour participer Vous Devez s'inscrire ici 
https://docs.google.com/forms/d/1xCuhUX3jzVQYzpZAf61Ctxq2h9T0lp6skC7hAY5vF7E/edit?ts=5a38d006",Problem Solving Preparation(ISAMM VS ISI),event,https://www.facebook.com/events/163172787634922/,2017-12-19 13:26:55,0,0,0,0,0,0,0,0,0,0,
,,PFE DAY,event,https://www.facebook.com/events/525047831187316/,2017-12-14 15:32:29,1,0,0,1,0,0,0,0,0,0,
,,ISAMM TALKS JOBS By J2I,photo,https://www.facebook.com/ClubJ2I/photos/a.1195185910616093.1073741838.201198273348200/1195186047282746/?type=3,2017-12-07 14:18:24,12,0,0,11,1,0,0,0,0,0,
,"Bonsoir les #ISAMMISTS n'oubliez pas l'évènement 💖🎉!! c'est pour demain de 10h à 12h à l'amphi!! c'est un évènement très intéressant surtout pour ceux qui cherchent des pfe👨‍🎓👩‍🎓 Il y aura aussi un débat et plein de surprises 🎁🎖️🎈🎉🎊 ne ratez pas cette occasion <3 :D 
#don't #wait #for #opportunity #create #it",ISAMM talks jobs,event,https://www.facebook.com/events/150018295627666/,2017-12-06 14:02:49,2,2,0,2,0,0,0,0,0,0,
,Soyez Nombreux,ISAMM talks jobs,event,https://www.facebook.com/events/150018295627666/,2017-12-04 14:25:47,3,0,0,3,0,0,0,0,0,0,
,"Club jeunes Ingénieurs ISAMM en collaboration avec 4C ISAMM, organise une conférence « ISAMM TALKS JOBS »  le jeudi 7/12 de 10h à 12h 
Le programme de cette journée concerne tous les étudiants de l’ISAMM qui cherchent à développer leurs  soft skills afin de se distinguer dans le monde de travail.
La conférence  sera animée par PES by CONECT spécialistes  dans la formation, l’encadrement et l’accompagnement des jeunes diplômés et chercheurs d’emploi en vue de faciliter l'entrée sur le marché du travail et obtenir le 1er Job.",ISAMM talks jobs,event,https://www.facebook.com/events/150018295627666/,2017-12-04 09:03:48,0,0,0,0,0,0,0,0,0,0,
,"Étudiants en PFE ?! Vous êtes les bienvenues, postulez sur job@fogits.com

Ne perdez pas votre temps, on prendra un café pendant les entretiens",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1190483284419689/?type=3,2017-11-30 16:40:13,2,0,0,2,0,0,0,0,0,0,
,"Vous ne le connaissez peut-être pas mais cet homme, Nader Masmoudi (Institute of Mathetmical Sciences, New-York, USA) vient de recevoir le Prix Fermat 2017 attribué par la société Mathématique de France (une des plus importantes au monde) pour ""ses travaux remarquables de profondeur et de créativité en analyse des équations aux dérivées partielles non-linéaires et en particulier pour ses contributions récentes à la résolution rigoureuse et complète de problèmes de stabilité hydrodynamique soulevés dès la fin du XIXème siècle par les pères fondateurs de la mécanique des fluides moderne.""

Extrême fierté !

Lien : https://lnkd.in/gY9eJVY",Prix Fermat 2017 | Société Mathématique de France,link,https://lnkd.in/gY9eJVY,2017-11-30 16:35:17,4,0,0,4,0,0,0,0,0,0,
,,ISAMM Innovation Camp,event,https://www.facebook.com/events/933334686817660/,2017-11-30 16:12:22,1,0,0,1,0,0,0,0,0,0,
,"Lien d'inscription Pour Tops 
http://iops.online/tops/index.php?subscription=success",International Olympiad in Problem Solving,link,http://iops.online/tops/index.php?subscription=success,2017-11-30 15:27:48,0,0,0,0,0,0,0,0,0,0,
,Date limite d'inscription le 30 Novembre,,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1190448741089810/?type=3,2017-11-30 15:17:24,3,0,0,3,0,0,0,0,0,0,
,"Vous êtes à la recherche d’un stage de PFE ? Vous êtes passionnés par les technologies de pointe : Machine Learning, Big Data, Business Intelligence … ? Découvrez notre catalogue des PFE en ligne ! https://goo.gl/wTbYMh 
Chez IP-Tech, nous vous encadrons à mettre en œuvre votre talent.",CATALOGUE DES SUJETS PFE POUR L'ANNÉE 2018,link,https://goo.gl/wTbYMh,2017-11-30 13:57:57,0,0,0,0,0,0,0,0,0,0,
,,4C ISAMM,link,https://www.facebook.com/4CISAMM/posts/1090277957776500,2017-11-29 19:56:06,3,0,0,3,0,0,0,0,0,0,
,.....,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,photo,https://www.facebook.com/356832424371408/photos/a.990309324357045.1073741949.356832424371408/1579492815438690/?type=3,2017-11-28 16:25:08,16,0,0,14,2,0,0,0,0,0,
,"Salut les #ISAMISTES Nous tenons à vous remercier 😁😉😀vous étiez plusieurs à participer au sondage de la succession de AngularJS. Nous voulons maintenant, avoir votre avis sur la date du déroulement de la formation. Vous voulez qu'elle soit avant les vacances(du 9/12 au 16/12) ou après les examens ?? merci de partager avec nous votre avis
#J2I",,status,,2017-11-28 11:39:25,6,0,1,4,2,0,0,0,0,0,
,"pour ceux qui n'ont pas encore voté, votre avis nous intéresse énormément :) :D",Jeunes Ingénieurs ISAMM,link,,2017-11-28 10:06:13,1,0,0,1,0,0,0,0,0,0,
,"On souhaite un joyeux anniversaire à notre cher Responsable Département Web  Nidhal Messelmani  <3 <3 et on profite de cette occasion pour le remercier pour tout ces efforts 
#Dont_wait_for_opportunity #Create_It #J2I",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1188715727929778/?type=3,2017-11-28 01:38:14,8,0,0,8,0,0,0,0,0,0,
,"[KEYRUS TUNISIE - PFE2018] - Equipe Business Intelligence 🎓🎓🎓

Tu cherches un Super Projet de Fin d'Etudes dans le domaine de la BI ?

Postule vite en choisissant l'un de ces sujets et en envoyant ton CV à l'adresse : cvtn@keyrus.com

📩 📩 📩 Attention : Pour que ta candidature ne passe pas inaperçue, précise bien dans l'objet de ton email, le sujet qui t'intéresse. 😀",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1188305881304096/?type=3,2017-11-27 10:14:36,1,2,1,1,0,0,0,0,0,0,
,"Pour son lancement en Tunisie, une startup tuniso-francaise recherche les profils suivants sur Tunis : 
1  développeur PHP Full stack
1 développeur Angular2/Nodejs
2 stagiaires de PFE informatique.

Les entretiens avec les fondateurs auront lieu  la semaine prochaine à Tunis (vendredi-samedi-dimanche-lundi).

Les profils sélectionnés vont avoir des salaires très intéressants qui peuvent atteindre les 1800dt pour les développeurs et les 800dt pour les stagiaires (selon profil) ainsi qu'une proposition d'un contrat de détachement en France après 6mois de travail.

Veuillez postuler via email: houchati.mohamed1@gmail.com",,status,,2017-11-27 10:06:07,6,1,0,6,0,0,0,0,0,0,
,"On souhaite un joyeux anniversaire à notre cher Responsable Département Conférences Yahia Aboulhassen  <3 <3 et on profite de cette occasion pour le remercier pour tout ces efforts 
#Dont_wait_for_opportunity #Create_It #J2I",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1187804711354213/?type=3,2017-11-26 14:35:01,18,7,0,18,0,0,0,0,0,0,
,#Be #there #ISAMM,Coding Land,photo,https://www.facebook.com/CodingLand.tn/photos/a.761167373987832.1073741828.757490707688832/1238101762961055/?type=3,2017-11-25 17:16:05,3,0,0,2,1,0,0,0,0,0,
,Alors les #ISAMISTES vous allez bien? Pas trop fatigué a cause des DS ?😀😁Nous allons poursuivre avec la formation de AngularJS nous voulons donc  vous demander votre avis🤔🤔 !! vous préférez une formation Spring Avec Angularjs ou bien Symphony Avec Angularjs ?? 👩‍💻👨‍💻💪 votre avis nous intéresse🤩😸  #Dont_wait_for_opportunity #Create_It #J2I,,status,,2017-11-25 07:49:10,5,2,3,3,2,0,0,0,0,0,
,"Telnet Holding PFE book is here!
https://lnkd.in/deevEnF

Good luck everyone.",lnkd.in,link,https://lnkd.in/deevEnF,2017-11-23 12:35:14,4,1,0,4,0,0,0,0,0,0,
,,Tunisian Development Contest 1.0,event,https://www.facebook.com/events/151268505624216/,2017-11-22 15:22:17,1,0,0,1,0,0,0,0,0,0,
,#PFE,Jobi,photo,https://www.facebook.com/jobi.tn/photos/a.318744891807571.1073741836.308467739501953/541671369514921/?type=3,2017-11-22 15:18:19,1,3,0,1,0,0,0,0,0,0,
,Bravo <3 <3 <3 <3 #ISAMM #ALWAYS #TOPS,Mitacs,video,https://www.facebook.com/Mitacs/videos/10154839773527015/,2017-11-22 15:13:28,11,0,0,11,0,0,0,0,0,0,
,,TechnoCon ISETSo : Hack for social good,event,https://www.facebook.com/events/294740064364117/,2017-11-22 15:09:02,0,0,0,0,0,0,0,0,0,0,
,"On souhaite un joyeux anniversaire à notre chére Responsable Département Gaming  Cyrine Nasus Hauzer  <3 <3 et on profite de cette occasion pour le remercier pour tout ces efforts 
#Dont_wait_for_opportunity #Create_It #J2I",,status,,2017-11-20 14:18:19,5,0,2,5,0,0,0,0,0,0,
